sid,order,order_wording,order_certainty,order_recall,comments,after1,after2,after3,after4,after5,after6,,,Kodierung order,,,,,
70,1,geraden Durchgänge,100%,132456,,3,4,2,5,6,1,,,,,,,,
71,1,"ja, aber so schnell, dass trotzdem sehr schwierig",60%,635124,,5,4,6,1,3,2,,,,,,,,
72,2,"ja, manchmal",100%,16256,,6,5,2,1,6,2,,,,,,,,
73,2,"ja, in den geraden Durchläufen, außerdie jeweils ersten Trials",100%,321564,,5,1,2,6,6,3,,,,,,,,
74,2,"manchmal, unsicher",60%,351624,,4,6,5,5,2,3,,,,,,,,
75,2,"ja, in jedem 2. Durchgang",99%,125634,,2,5,4,1,6,3,,,,,,,,
76,2,"macnhmal, in jeder 2. Runde",100%,164235,,6,3,5,2,1,4,,,,,,,,
77,2,"manchmal, in jedem 2. Block",90%,163245,,6,3,2,5,1,2,,,,,,,,
78,0,,60%,"machmal das Gefühl, dass 565, 123 oder 121 öfter zusammen auftreten",,-,-,-,-,-,-,,,,,,,,
79,2,"Jeder 2. Durchgang, nur Kombinationen kamen mal vor",80%,615432,,5,4,2,3,-,5,,,,,,,,
80,0,hin und wieder Kombinationen,50%,616152,,6,5,-,2,-,-,,,,,,,,
81,2,die frei berichtete Reiehnfolge und die angegebenen einzelnen Übergäng stimen nicht überein,80%,165315643,,5,4,6,1,2,3,,,,,,,,
82,0,,40%,,,-,-,-,-,-,-,,,,,,,,
83,0,,80%,,,-,-,-,-,-,-,,,,,,,,
84,,,,,Abbruch der Studie,-,-,-,-,-,-,,,,,,,,
85,2,Bei den letzten Durchgängen wurde Reiehfolge entdeckt,100%,423516,,6,3,5,2,1,2,,,,,,,,
86,1,Bei den geraden Durchgängen,80%,645123,,2,3,6,1,4,5,,,,,,,,
87,2,bei jedem 2. Durchgang,100%,132456,,3,4,2,5,6,2,,,,,,,,
88,2,"Macnhmal, selten",20%,642531,,3,4,1,6,3,4,,,,,,,,
89,1,"Bei jedem 2. Durchgang, wie in Instruktion",65%,342651,,3,6,4,2,1,5,,,,,,,,
90,0,,84%,34 oder 3416,,6,3,4,1,-,1,,,,,,,,
91,0,,75%,321645,,2,3,4,5,6,1,,,,,,,,
92,1,,82%,251364,,3,5,6,2,2,1,,,,,,,,
93,2,50/50,90%,132654,,3,6,2,1,4,5,,,,,,,,
94,0,,60%,,,-,-,-,-,-,-,,,,,,,,
95,1,bei den (un)geraden,100%,124536,,2,4,6,5,3,1,,,,,,,,
96,0,,80%,315642,,5,3,1,2,6,4,,,,,,,,
97,1,,90%,1634162/3,,6,6,4,2,1,3,,,,,,,,
99,2,,75%,162534,,6,5,4,1,2,3,,,,,,,,
100,1,,100%,542631,,3,4,1,5,2,3,,,,,,,,
101,2,,50%,165214,,5 oder 6,5,6,1,2,1,,,,,,,,
102,1,jedes 2. Mal,100%,521365,,3,1,6,5,2,4,,,,,,,,
103,0,"keine Reihenfolge, aber manchmal Tastenkombinationen",65%,61525252,,-,-,-,-,-,-,,,,,,,,
104,0,,100%,,,-,-,-,-,-,-,,,,,,,,
105,0,"keine Reihenfolge, aber manchmal Tastenkombinationen",25%,13/31,,-,-,-,-,-,-,,,,,,,,
106,2,,100%,645312,,2,3,6,5,1,4,,,,,,,,
107,0,"keine Reihenfolge erkannt, aber etwas unsicher ",80%,-,konnte keine Reihenfolge nennen ,-,-,-,-,-,-,,,,,,,,
108,2,min. jedes 2. Mal,100%,645231,,6,3,1,5,2,4,,,,,,,,
109,2,,60%,251634,,6,5,4,2,1,3,,,,,,,,
110,0,,60%,2 -> rechte Hand ,,-,-,-,-,-,-,,,,,,,,
111,2,abwechselnd,100%,132465,,3,4,2,6,1,5,,,,,,,,
112,2,"vllt. Nur, wenn Fehler gemacht wurden und eine Reihenfolge wieder von vorne begann ",80%,4352,"hat kurze Reihenfolgen wahrgenommen, insgesamt häufiger 4, 5, 2 ",6,1,5,3,2,4,,,,,,,,
113,0,,70%,341256,,2,5,4,3,6,3,,,,,,,,
114,1,,55%,2516,,6,5,4,2,3,1,,,,,,,,
115,1,,75%,162534,von außen nach innen,6,5,4,5,2,1,,,,,,,,
116,2,"in geraden durchgängen mit, in ungeraden ohne Reihenfolge",90%,142635,,4,6,5,2,1,3,,,,,,,,
117,1,,100%,435216,,6,1,5,3,2,4,,,,,,,,
118,1,,90%,126543,,2,6,1,3,4,5,,,,,,,,
119,0,,60%,426351,"""Hände haben sich immer abgewechselt""",5,6,4,2,1,2,,,,,,,,
120,1,,70%,-,"""sowas wie 2-4 oder 6-3 trat häufig auf""",4,5,1,5,2,1,,,,,,,,
121,0,,60%,-,,4,6,5,2,1,3,"""einfach nur geraten""",,,,,,,
122,0,,70%,452136,,3,1,6,5,2,4,,,,,,,,
123,1,,100%,456312,,2,4,1,5,6,3,,,,,,,,
124,1,,50%,456321,,4,5,6,3,2,1,,,,,,,,
125,0,,60%,614352,,6,5,3,1 oder 6,3,1,,,,,,,,
126,0,"keine reihenfolge, aber manchmal das Gefühl, dass es von rechts wieder nach links springt",70%,61,,-,-,-,-,-,-,,,,,,,,
127,2,"war schwierig Reihenfolge zu erkennen, aber in der Instruktion gegeben",80%,142563,,4,5,1,2,6,3,,,,,,,,
128,1,Reihenfolge wurde zu Beginn genannt ,95%,531264,,2,6,4,5,3,4,,,,,,,,
129,2,"eigentlich in Bedingung ohne Reihenfolge-Angabe, aber tw klares Gefühl, dass es Tastenkombis gibt",100%,"456/654, 342516",in der rechten Hand oft von außen nach innen oder innen nach außen,-,-,-,-,-,-,"hier keine Angabe gemacht, da es keine klare Reihenfolge, sondern nur Tastenkombis waren",,,,,,,
130,0,vllt. In einer Bedingung,90%,-,,-,-,-,-,-,-,,,,,,,,
131,1,,100%,216345,,3,2,5,4,6,1,,,,,,,,
132,1,,100%,154263,,5,6,1,2,4,3,,,,,,,,
